DEM,Runoff,FCO,Faults,Slope,SPI,TWI,Rain,TRI,UD,Aspect,Curvature,NDVI,Manning,FLOOD
1886,1489.030029,2.49,543.401001,0.706934273,2.6528299,11.58039761,57,0.456005126,33.24293137,44.96501923,-1.120605469,0.417461,0.050000001,1
1903,848.8339844,1.36736,1448.229981,0.743598223,0.324469,9.537399292,68,0.495005548,35.38334656,227.72789,-0.080078125,0.403791,0.050000001,1
1855,610.3770142,0.647846,4206.180176,0.223415762,0,8.94815731,57,0.55510205,36.12952423,333.4699402,0.040039063,0.431079,0.050000001,1
1861,371.4299927,5.5265498,2298.879883,1.8399086,0.481844,8.225675583,57,0.5,25.98453522,42.79533386,-0.000976563,0.495034,0.050000001,1
1861,371.4299927,5.5265498,2298.879883,1.389656544,0,7.12018919,57,0.409610987,28.42610359,300.2645874,0.280761719,0.540376,0.050000001,1
1862,652.2709961,5.4920998,1838.599976,1.389656544,0,7.12018919,57,0.409610987,28.42610359,300.2645874,0.280761719,0.540376,0.050000001,1
1865,922.1420288,4.3715301,1601.930054,0.176949322,0,9.181329727,57,0.445121944,36.21577072,351.8699036,0,0.431079,0.050000001,1
1862,669.5079956,5.4920998,1868.099976,2.265282869,16.8115997,11.08556747,57,0.669315934,39.81265259,222.3136749,-1.518554688,0.426825,0.050000001,1
1870,1501.880005,2.7713001,1148.310059,1.389656544,0,7.12018919,57,0.409610987,28.42610359,300.2645874,0.280761719,0.540376,0.050000001,1
1862,652.2709961,5.4920998,1838.599976,2.265282869,16.8115997,11.08556747,57,0.669315934,39.81265259,222.3136749,-1.518554688,0.426825,0.050000001,1
1859,598.7930298,2.30639,2609.889893,0.855966687,0.149403,8.703502655,57,0.475254238,37.37088013,142.1250153,-0.16015625,0.396755,0.050000001,1
1896,1247.280029,1.76837,748.6359863,0.824964583,0.503969,9.7212286,48,0.457259148,37.92759323,268.2617188,0.000488281,0.561809,0.050000001,1
1862,12.5299997,6.4554501,1695.77002,1.717546701,3.1484599,9.999287605,48,0.496786624,43.04270554,188.3777313,-0.080078125,0.461658,0.050000001,1
1862,12.5299997,6.4554501,1695.77002,4.051232338,1.06236,7.435046673,57,0.506239831,46.36001968,271.4201355,-0.480957031,0.442858,0.050000001,1
1862,12.5299997,6.4554501,1695.77002,4.051232338,1.06236,7.435046673,57,0.506239831,46.36001968,271.4201355,-0.480957031,0.442858,0.050000001,1
1862,12.5299997,6.4554501,1695.77002,4.051232338,1.06236,7.435046673,57,0.506239831,46.36001968,271.4201355,-0.480957031,0.442858,0.050000001,1
1863,100.1800003,6.60356,1616.640015,4.051232338,1.06236,7.435046673,57,0.506239831,46.36001968,271.4201355,-0.480957031,0.442858,0.050000001,1
1857,179.1759949,1.6778001,3102.689941,1.073229432,0.0936663,8.071799278,57,0.570382416,39.03839493,117.7600555,0.081054688,0.41481,0.050000001,1
1862,12.5299997,6.4554501,1695.77002,1.566406131,0.957085,9.079849243,57,0.592573762,44.4516716,73.28792572,-0.239746094,0.446713,0.050000001,1
1862,12.5299997,6.4554501,1695.77002,0.928004682,0,7.524072647,68,0.453713119,32.20877075,94.62125397,0.200683594,0.565584,0.050000001,1
1859,432.0050049,2.57671,2416.959961,4.051232338,1.06236,7.435046673,57,0.506239831,46.36001968,271.4201355,-0.480957031,0.442858,0.050000001,1
1889,1272.880005,3.9400301,300.1069946,4.051232338,1.06236,7.435046673,57,0.506239831,46.36001968,271.4201355,-0.480957031,0.442858,0.050000001,1
1879,1288.680054,1.4736201,6.3245602,1.140486002,1.39353,10.02590466,57,0.483098596,45.5288887,307.8480835,-1.319824219,0.473185,0.050000001,1
