X,Y,DEM,Runoff,FCO,Faults,Slope,SPI,TWI,Rain,TRI,UD,Aspect,Curvature,NDVI,Manning
302736.6008,2457100.893,1846,461.0679932,0,7663.370117,3.8940001,0.340334,6.78161,73,0.510798,13.0221004,167.3880005,0.359863,0.463011086,0.259000003
292536.6008,2456900.893,1898,727.9780273,0,1512.23999,2.7040501,0.236144,7.1471,48,0.474155,8.2667103,86.8234024,0.238281,0.526740849,0.050000001
292736.6008,2456900.893,1895,664.5579834,0,1428.089966,2.5692899,0,6.5051398,48,0.591572,10.4348001,79.3494034,0.358887,0.460243404,0.050000001
292936.6008,2456900.893,1893,608.8369751,0.000263,1300.560059,0.376199,0.492443,11.1997004,48,0.424612,16.6473999,273.8139954,-0.760742,0.549108803,0.050000001
293136.6008,2456900.893,1891,605.5759888,0.0393864,1103.640015,3.0917799,0.540132,7.4183402,48,0.467716,21.7632999,6.0341702,0.0405273,0.456778884,0.050000001
293336.6008,2456900.893,1890,624.5679932,0.180078,904.3699951,2.2019801,0.192251,7.3527398,48,0.45752,27.7674999,272.605011,0.0400391,0.417520911,0.050000001
293536.6008,2456900.893,1887,594.0410156,0.295183,705.3259888,1.15829,0.101092,7.9955101,48,0.629285,34.7028999,103.7320023,0.0795898,0.368332982,0.050000001
293736.6008,2456900.893,1887,580.6420288,0.456717,507.9859924,4.4000001,0.769445,7.0644798,48,0.432176,38.047699,89.3522034,-0.55957,0.37799269,0.050000001
293936.6008,2456900.893,1887,552.0910034,0.554323,309.0710144,2.8383601,0,6.4053998,48,0.517507,45.0452995,174.4409943,0.63916,0.378803283,0.050000001
294136.6008,2456900.893,1883,573.5089722,0.64965,111.0179977,2.3700199,0.413876,7.6845798,48,0.566823,46.6985016,46.7113991,0.319336,0.547962368,0.050000001
294336.6008,2456900.893,1883,526.197998,0.664202,83.6001968,1.34627,0.117504,7.8450699,48,0.50323,47.5257988,74.9431,0.0791016,0.545988441,0.050000001
294536.6008,2456900.893,1880,447.1799927,0.648126,280.6440125,1.41294,0.73995,9.0494804,48,0.389016,47.9239006,103.2860031,-0.679688,0.411373615,0.050000001
294736.6008,2456900.893,1878,362.8330078,0.641159,477.0010071,1.45795,2.6723599,10.1632004,57,0.391633,46.0676003,185.9109955,-0.0795898,0.401834637,0.029999999
294936.6008,2456900.893,1876,331.0239868,0.830472,654.3619995,1.31996,2.3041401,10.2161999,57,0.52635,42.5213013,65.3784027,-0.0805664,0.449541092,0.050000001
295136.6008,2456900.893,1876,357.5140076,1.01996,840.1010132,0.729246,0,7.76513,57,0.586016,39.3648987,84.1151962,0.438965,0.438348919,0.050000001
